continent,iso_country,iso_region,municipality,iata_code
OC,PG,PG-MPL,Derim,DER
AF,LY,LY-DR,Derna,DNF
EU,GB,GB-NIR,Derry,LDY
NA,US,US-IA,Des Moines,DSM
NA,CA,CA-BC,Desolation Sound,YRC
AF,SC,SC-15,Desroches Island,DES
AF,ET,ET-AM,Dessie,DSE
NA,US,US-FL,Destin,DSI
NA,US,US-MI,Detroit,DET
NA,US,US-MI,Detroit,DTW
NA,US,US-MI,Detroit,YIP
NA,US,US-MN,Detroit Lakes,DTL
NA,US,US-ND,Devils Lake,DVL
OC,AU,AU-TAS,Devonport,DPO
AS,BD,BD-3,Dhaka,DAC
AS,NP,NP-BH,Dhangarhi,DHI
SA,BR,BR-MG,Diamantina,DTI
OC,AU,AU-QLD,Diamantina Lakes,DYM
SA,BR,BR-MT,Diamantino,DMT
SA,BR,BR-TO,Dianópolis,DNO
AF,BF,BF-TAP,Diapaga,DIP
NA,CA,CA-NT,Diavik,DVK
AS,OM,OM-MU,Dibba Al-Baya,BYB
AS,IN,IN-AS,Dibrugarh,DIB
NA,US,US-ND,Dickinson,DIK
AS,LK,LK-3,Dickwella,DIW
AF,BF,BF-BGR,Diebougou,XDE
AS,IO,IO-U-A,Diego Garcia,NKW
AS,VN,VN-01,Dien Bien Phu,DIN
EU,FR,FR-Q,Dieppe,DPE
NA,CA,CA-NS,Digby,YDG
EU,FR,FR-D,Dijon/Longvic,DIJ
AS,RU,RU-KYA,Dikson,DKS
AS,PH,PH-AUR,Dilasag,DSG
AS,TL,TL-DI,Dili,DIL
NA,US,US-AK,Dillingham,DLG
NA,US,US-SC,Dillon,DLL
NA,US,US-MT,Dillon,DLN
OC,VU,VU-TAE,Dillon's Bay,DLY
AS,IN,IN-NL,Dimapur,DMU
AF,CI,CI-11,Dimbokro,DIM
OC,PG,PG-MPL,Dinangat,DNU
EU,FR,FR-E,Dinard/Pleurtuit/Saint-Malo,DNR
AF,SD,SD-25,Dinder,DNX
OC,PG,PG-NSB,Dios,DOS
AS,PH,PH-ZAN,Dipolog City,DPL
AF,ET,ET-DD,Dire Dawa,DIR
AF,AO,AO-CCU,Dirico,DRC
AS,IN,IN-GJ,Diu,DIU
SA,BR,BR-MG,Divinópolis,DIQ
AS,TR,TR-21,Diyarbakir,DIY
AF,CG,CG-14,Djambala,DJM
AF,DZ,DZ-33,Djanet,DJG
AF,DZ,DZ-17,Djelfa,QDJ
AF,TN,TN-82,Djerba,DJE
AF,BF,BF-SOM,Djibo,XDJ
AF,DJ,DJ-DJ,Djibouti City,JIB
AF,BJ,BJ-DO,Djougou,DJA
SA,SR,SR-SI,Djumu-Djomoe,DOE
EU,IS,IS-7,Djúpivogur,DJU
EU,UA,UA-12,Dnipropetrovsk,DNK
AF,MG,MG-D,Doany,DOA
AS,ID,ID-MA,Dobo-Warmar Island,DOB
NA,US,US-KS,Dodge City,DDC
AF,TZ,TZ-03,Dodoma,DOD
AS,QA,QA-DA,Doha,DOH
NA,CA,CA-QC,Dolbeau-St-Félicien,YDO
EU,FR,FR-I,Dole/Tavaux,DLE
AF,CG,CG-9,Dolisie,DIS
AS,NP,NP-KA,Dolpa,DOP
EU,DE,DE-BW,Donaueschingen,ZQL
EU,GB,GB-ENG,Doncaster,DSA
EU,IE,IE-DL,Donegal,CFN
EU,UA,UA-14,Donetsk,DOK
AS,VN,VN-24,Dong Hoi,VDH
AF,SD,SD-01,Dongola,DOG
AS,CN,CN-37,Dongying,DOY
NA,CA,CA-AB,Donnelly,YOE
NA,PR,PR-U-A,Dorado,DDP
AF,BF,BF-SEN,Dori,DOR
EU,GB,GB-SCT,Dornoch,DOC
OC,PG,PG-CPM,Dorobisoro,DOO
EU,DE,DE-NW,Dortmund,DTM
OC,AU,AU-QLD,Dorunda Outstation,DRD
NA,GT,GT-PE,Dos Lagunas,DON
NA,US,US-AL,Dothan,DHN
AF,CM,CM-LT,Douala,DLA
NA,US,US-AZ,Douglas,DGL
NA,US,US-WY,Douglas,DGW
NA,US,US-AZ,Douglas Bisbee,DUG
NA,CA,CA-BC,Douglas Lake,DGF
SA,BR,BR-MS,Dourados,DOU
NA,US,US-DE,Dover,DOV
NA,US,US-PA,Doylestown,DYL
SA,BR,BR-SP,Dracena,QDC
NA,CA,CA-AB,Drayton Valley,YDC
EU,DE,DE-SN,Dresden,DRS
SA,SR,SR-SI,Drietabbetje,DRJ
OC,AU,AU-QLD,Drumduff,DFP
NA,US,US-MT,Drummond,DRU
NA,US,US-MI,Drummond Island,DRE
NA,CA,CA-ON,Dryden,YHD
AF,CM,CM-OU,Dschang,DSC
AS,AE,AE-DU,Dubai,DCG
AS,AE,AE-DU,Dubai,DXB
AS,AE,AE-DU,Dubai,NHD
OC,AU,AU-NSW,Dubbo,DBO
NA,US,US-GA,Dublin,DBN
EU,IE,IE-D,Dublin,DUB
NA,US,US-VA,Dublin,PSK
NA,US,US-ID,Dubois,DBS
NA,US,US-PA,Dubois,DUJ
EU,HR,HR-19,Dubrovnik,DBV
NA,US,US-IA,Dubuque,DBQ
NA,US,US-UT,Dugway Proving Ground,DPG
NA,CA,CA-QC,Duhamel,YGA
OC,AU,AU-SA,Dulkaninna,DLK
NA,US,US-MN,Duluth,DLH
AS,PH,PH-NER,Dumaguete City,DGT
AS,ID,ID-RI,Dumai-Sumatra Island,DUM
OC,PG,PG-MPM,Dumpu,DPU
NA,US,US-OK,Duncan,DUC
NA,CA,CA-BC,Duncan,DUQ
EU,GB,GB-SCT,Dundee,DND
OC,NZ,NZ-OTA,Dunedin,DUD
AS,VN,VN-29,Dung Quat Bay,VCL
AS,CN,CN-62,Dunhuang,DNH
OC,AU,AU-QLD,Dunk Island,DKI
NA,US,US-NY,Dunkirk,DKK
NA,US,US-CA,Dunsmuir,MHS
AS,OM,OM-WU,Duqm,JNJ
AS,OM,OM-WU,Duqm,JNJ
NA,US,US-CO,Durango,AMK
NA,MX,MX-DUR,Durango,DGO
NA,US,US-CO,Durango,DRO
NA,US,US-OK,Durant,DUA
SA,UY,UY-DU,Durazno,DZO
AF,ZA,ZA-NL,Durban,DUR
AF,ZA,ZA-NL,Durban,VIR
AS,IN,IN-WB,Durgapur,RDP
EU,GB,GB-ENG,Durham,MME
AS,TJ,TJ-RR,Dushanbe,DYU
EU,DE,DE-NW,Düsseldorf,DUS
EU,GB,GB-ENG,Duxford,QFO
AF,MW,MW-NK,Dwangwa,DWA
AF,YT,YT-U-A,Dzaoudzi,DZA
NA,US,US-AK,Eagle,EAA
NA,US,US-CO,Eagle,EGE
NA,US,US-TX,Eagle Lake,ELA
NA,US,US-TX,Eagle Pass,EGP
NA,US,US-WI,Eagle River,EGV
NA,CA,CA-ON,Earlton,YXR
NA,US,US-NY,East Hampton,HTO
NA,US,US-CT,East Hartford,EHT
AF,ZA,ZA-EC,East London,ELS
NA,US,US-WA,East Sound,WDN
NA,US,US-PA,East Stroudsburg,ESP
NA,US,US-PA,East Stroudsburg,ESP
NA,US,US-MI,East Tawas,ECA
NA,US,US-TX,Eastland,ETN
NA,CA,CA-QC,Eastmain River,ZEM
NA,US,US-MD,Easton,ESN
NA,US,US-WA,Easton,ESW
NA,US,US-SC,Eastover,MMT
NA,US,US-WA,Eastsound,ESD
NA,US,US-WI,Eau Claire,EAU
OC,MH,MH-KWA,Ebadon Island,EBN
EU,DE,DE-BY,Ebermannstadt,URD
AF,CM,CM-SU,Ebolowa,EBW
OC,MH,MH-EBO,Ebon Atoll,EBO
EU,GB,GB-SCT,Eday,EOI
NA,US,US-NC,Edenton,EDE
EU,GB,GB-SCT,Edinburgh,EDI
NA,CA,CA-AB,Edmonton,YEG
NA,CA,CA-AB,Edmonton,YXD
NA,US,US-AK,Edna Bay,EDA
AS,TR,TR-10,Edremit,EDO
NA,CA,CA-AB,Edson,YET
NA,US,US-CA,Edwards,EDW
NA,US,US-AK,Eek,EEK
OC,PG,PG-CPM,Efogi,EFG
NA,US,US-AK,Egegik,BSZ
NA,US,US-AK,Egegik,EGX
EU,IS,IS-7,Egilsstaðir,EGS
AS,IL,IL-D,Eilat,ETH
AS,IL,IL-D,Eilat,VDA
OC,AU,AU-QLD,Einasleigh,EIH
EU,NL,NL-NB,Eindhoven,EIN
SA,BR,BR-AM,Eirunepé,ERN
EU,DE,DE-TH,Eisenach,EIB
AS,CN,CN-15,Ejin Banner,EJN
NA,CA,CA-NT,Ekati,YOA
AS,KZ,KZ-PAV,Ekibastuz,EKB
NA,US,US-AK,Ekuk,KKU
NA,US,US-AK,Ekwok,KEK
AF,EH,EH-U-A,El Aaiún,EUN
AF,EG,EG-MT,El Alamein,DBB
AS,EG,EG-SIN,El Arish,AAC
SA,CO,CO-ANT,El Bagre,EBG
SA,BO,BO-H,El Bañado,MHW
SA,CO,CO-MAG,El Banco,ELB
AF,DZ,DZ-32,El Bayadh,EBH
SA,AR,AR-R,El Bolson,EHL
AF,TN,TN-83,El Borma,EBM
AF,EG,EG-GZ,El Cairo,CWE
SA,AR,AR-Z,El Calafate,FTE
SA,AR,AR-Z,El Calafate,ING
SA,CO,CO-NAR,El Charco,ECR
AF,SD,SD-DE,El Daein,ADV
AF,SD,SD-01,El Debba,EDB
NA,US,US-KS,El Dorado,EDK
NA,US,US-AR,El Dorado,ELD
SA,AR,AR-N,El Dorado,ELO
SA,CO,CO-AMA,El Encanto,ECO
AF,SD,SD-02,El Fasher,ELF
AF,EG,EG-SIN,El Gora,EGH
EU,ES,ES-CN,El Hierro Island,VDE
SA,AR,AR-U,El Maiten,EMX
NA,US,US-CA,El Monte,EMT
NA,GT,GT-ES,El Naranjo,ENJ
AS,PH,PH-PLW,El Nido,ENI
SA,AR,AR-B,El Palomar,EPA
NA,US,US-TX,El Paso,ELP
NA,PA,PA-KY,El Porvenir,PVE
NA,PA,PA-5,El Real de Santa María,ELE
NA,US,US-OK,El Reno,RQO
SA,CL,CL-AT,El Salvador,ESR
SA,VE,VE-B,El Tigre,SOM
SA,VE,VE-L,El Vigía,VIG
SA,CO,CO-CAS,El Yopal,EYP
AS,TR,TR-23,Elazığ,EZS
OC,AU,AU-NT,Elcho Island,ELC
AF,KE,KE-700,Eldoret,EDL
NA,US,US-WA,Electric City,GCD
AS,ID,ID-PA,Elelim-Papua Island,ELR
NA,CA,CA-QC,Éléonore Mine,YOI
NA,US,US-AK,Elfin Cove,ELV
NA,US,US-AK,Elim,ELI
OC,PG,PG-SAN,Eliptamin,EPT
EU,RU,RU-KL,Elista,ESL
AF,KE,KE-700,Eliye Springs,EYS
NA,US,US-NC,Elizabeth City,ECG
NA,US,US-KY,Elizabethtown,EKX
NA,US,US-OK,Elk City,ELK
NA,US,US-IN,Elkhart,EKI
NA,US,US-WV,Elkins,EKN
NA,US,US-NV,Elko,EKO
NA,US,US-AK,Ellamar,ELW
NA,US,US-WA,Ellensburg,ELN
NA,CA,CA-ON,Elliot Lake,YEL
AF,ZA,ZA-NP,Ellisras,ELL
NA,US,US-NY,Elmira/Corning,ELM
OC,AU,AU-QLD,Elrose Mine,ERQ
NA,US,US-NV,Ely,ELY
NA,US,US-MN,Ely,LYU
OC,VU,VU-SEE,Emae Island,EAE
OC,PG,PG-NPP,Embessa,EMS
EU,DE,DE-NI,Emden,EME
OC,AU,AU-QLD,Emerald,EMD
NA,US,US-CA,Emigrant Gap,BLU
OC,PG,PG-NIK,Emirau Island,EMI
NA,US,US-AK,Emmonak,EMK
OC,PG,PG-NPP,Emo Mission,EMO
AF,ZA,ZA-NL,Empangeni,EMG
NA,US,US-KS,Emporia,EMP
AF,SD,SD-09,En Nahud,NUD
AS,ID,ID-PA,Enarotali-Papua Island,EWI
SA,PY,PY-7,Encarnación,ENO
AS,ID,ID-NT,Ende-Flores Island,ENE
OC,AU,AU-WA,Eneabba,ENB
AF,NG,NG-EN,Enegu,ENU
OC,MH,MH-MIL,Enejit Island,EJT
AF,TN,TN-51,Enfidha,NBE
OC,PG,PG-MPL,Engati,EGA
NA,US,US-OK,Enid,END
NA,US,US-OK,Enid,WDG
OC,MH,MH-ENI,Eniwetok Atoll,ENT
EU,GB,GB-NIR,Enniskillen,ENK
EU,FI,FI-LL,Enontekio,ENF
EU,NL,NL-OV,Enschede,ENS
NA,MX,MX-BCN,Ensenada,ESE
AS,CN,CN-42,Enshi,ENH
NA,US,US-AL,Enterprise,ETS
NA,US,US-AK,Entrance Island,HBH
EU,GB,GB-SCT,Eoligarry,BRR
NA,US,US-WA,Ephrata,EPH
OC,VU,VU-SEE,Epi Island,VLS
EU,FR,FR-M,Épinal/Mirecourt,EPL
NA,GL,GL-U-A,Eqalugaarsuit,QFG
NA,HN,HN-LE,Erandique,EDQ
OC,PG,PG-SHM,Erave,ERE
AS,RU,RU-IRK,Erbogachen,ERG
AS,MN,MN-035,Erdenet,ERT
SA,BR,BR-RS,Erechim,ERM
AS,CN,CN-15,Erenhot,ERL
EU,DE,DE-TH,Erfurt,ERF
NA,US,US-PA,Erie,ERI
AF,SO,SO-SA,Erigavo,ERA
AF,MA,MA-ERR,Errachidia,ERH
NA,US,US-NH,Errol,ERR
OC,PG,PG-CPM,Erume,ERU
AS,TR,TR-24,Erzincan,ERC
AS,TR,TR-25,Erzurum,ERZ
OC,PG,PG-MBA,Esa'ala,ESA
EU,DK,DK-83,Esbjerg,EBJ
NA,US,US-MI,Escanaba,ESC
EU,SE,SE-D,Eskilstuna,EKT
AS,TR,TR-26,Eskişehir,AOE
NA,US,US-NM,Espanola,ESO
AF,CV,CV-B,Espargos,SID
OC,AU,AU-WA,Esperance,EPR
SA,BR,BR-MG,Espinosa,ESI
SA,AR,AR-U,Esquel,EQS
AF,MA,MA-ESI,Essaouira,ESU
NA,US,US-PA,Essington,PSQ
NA,CA,CA-SK,Estevan,YEN
NA,US,US-IA,Estherville,EST
OC,AU,AU-SA,Etadunna,ETD
OC,TO,TO-01,Eua Island,EUA
NA,US,US-AL,Eufaula,EUF
NA,US,US-OR,Eugene,EUG
NA,US,US-LA,Eunice,UCE
NA,US,US-CA,Eureka,EKA
NA,US,US-NV,Eureka,EUE
NA,US,US-CA,Eureka,NLN
NA,CA,CA-NU,Eureka,YEU
OC,AU,AU-NT,Eva Downs,EVD
NA,US,US-TX,Evadale,EVA
NA,US,US-WY,Evanston,EVW
NA,US,US-IN,Evansville,EVV
NA,US,US-MN,Eveleth,EVM
EU,NO,NO-18,Evenes,EVE
NA,US,US-WA,Everett,PAE
EU,FR,FR-Q,Évreux/Fauville,EVX
AF,CG,CG-8,Ewo,EWO
NA,US,US-AK,Excursion Inlet,EXI
EU,GB,GB-ENG,Exeter,EXT
OC,AU,AU-WA,Exmouth,LEA
AF,SO,SO-NU,Eyl,HCM
AF,BF,BF-GOU,Fada N'gourma,FNG
EU,IS,IS-7,Fagurhólsmýri,FAG
AS,OM,OM-ZA,Fahud,FAU
EU,GB,GB-SCT,Fair Isle,FIE
NA,US,US-AK,Fairbanks,EIL
NA,US,US-AK,Fairbanks,FAI
NA,US,US-AK,Fairbanks,MTX
NA,US,US-AK,Fairbanks/Ft Wainwright,FBK
NA,US,US-NE,Fairbury,FBY
NA,US,US-IA,Fairfield,FFL
NA,US,US-CA,Fairfield,SUU
EU,GB,GB-ENG,Fairford,FFD
NA,US,US-MN,Fairmont,FRM
NA,CA,CA-BC,Fairmont Hot Springs,YCZ
NA,CA,CA-AB,Fairview,ZFW
AS,PK,PK-PB,Faisalabad,LYP
NA,PR,PR-U-A,Fajardo,FAJ
OC,PF,PF-U-A,Fakahina,FHZ
AS,ID,ID-PB,Fakfak-Papua Island,FKQ
OC,FM,FM-YAP,Falalop Island,ULI
NA,US,US-NV,Fallon,FLX
NA,US,US-NV,Fallon,NFL
NA,US,US-MA,Falmouth,FMH
NA,US,US-AK,False Island,FAK
NA,US,US-AK,False Pass,KFP
OC,PG,PG-CPM,Fane Mission,FNE
AS,AF,AF-FRA,Farah,FAH
AF,GN,GN-F,Faranah,FAA
OC,PF,PF-U-A,Fare,HUH
NA,US,US-AK,Farewell,FWL
NA,US,US-ND,Fargo,FAR
NA,US,US-MN,Faribault,FBL
NA,US,US-NY,Farmingdale,FRG
NA,US,US-MO,Farmington,FAM
NA,US,US-NM,Farmington,FMN
EU,GB,GB-ENG,Farnborough,FAB
EU,PT,PT-08,Faro,FAO
NA,CA,CA-YT,Faro,ZFA
EU,NO,NO-10,Farsund,FAN
AS,IR,IR-14,Fasa,FAZ
EU,IS,IS-7,Fáskrúðsfjörður,FAS
OC,PG,PG-CPM,Fatima Mission,WTP
NA,US,US-NC,Fayetteville,FAY
NA,US,US-TN,Fayetteville,FYM
NA,US,US-AR,Fayetteville,FYV
NA,US,US-NC,Fayetteville,POB
NA,US,US-AR,Fayetteville/Springdale,XNA
AS,AF,AF-BDS,Fayzabad,FBD
AF,MR,MR-11,Fderik,FGD
SA,BR,BR-AC,Feijó,FEJ
SA,BR,BR-BA,Feira De Santana,FEC
OC,SB,SB-IS,Fera Island,FRE
OC,PG,PG-SAN,Feramin,FRQ
AS,UZ,UZ-FA,Fergana,FEG
NA,US,US-MN,Fergus Falls,FFM
AF,CI,CI-03,Ferkessedougou,FEK
SA,BR,BR-PE,Fernando De Noronha,FEN
AF,MA,MA-FES,Fes,FEZ
EU,GB,GB-SCT,Fetlar Island,FEA
AF,ZA,ZA-FS,Ficksburg,FCB
EU,FR,FR-H,Figari Sud-Corse,FSC
SA,PY,PY-19,Filadelfia,FLM
NA,US,US-UT,Fillmore,FIL
AF,ET,ET-OR,Fincha,FNH
NA,US,US-OH,Findlay,FDY
OC,AU,AU-NT,Finke,FIK
EU,IT,IT-52,Firenze,FLR
NA,US,US-NY,Fishers Island,FID
OC,AS,AS-U-A,Fitiuta Village,FTI
NA,US,US-AK,Five Finger,FIV
NA,US,US-AK,Five Mile,FMC
NA,US,US-AZ,Flagstaff,FLG
NA,US,US-AK,Flat,FLT
EU,IS,IS-4,Flateyri,FLI
NA,US,US-AK,Flaxman Island,FXM
EU,DE,DE-SH,Flensburg,FLF
NA,CA,CA-MB,Flin Flon,YFO
OC,AU,AU-TAS,Flinders Island,FLS
NA,US,US-MI,Flint,FNT
NA,US,US-AR,Flippin,FLP
NA,US,US-SC,Florence,FLO
NA,US,US-OR,Florence,FMU
SA,CO,CO-CAQ,Florencia,FLA
SA,BR,BR-PI,Floriano,FLB
SA,BR,BR-SC,Florianópolis,FLN
EU,NO,NO-14,Florø,FRO
EU,GB,GB-SCT,Flotta Isle,FLH
EU,IT,IT-75,Foggia,FOG
NA,US,US-AL,Foley,NHX
NA,US,US-WI,Fond du Lac,FLD
NA,CA,CA-SK,Fond-Du-Lac,ZFD
NA,CA,CA-QC,Fontanges,YFG
SA,BR,BR-AM,Fonte Boa,FBA
EU,MC,MC-U-A,Fontvieille,MCM
OC,AU,AU-NSW,Forbes,FRB
EU,NO,NO-14,Førde,FDE
NA,US,US-IA,Forest City,FXY
NA,CA,CA-QC,Forestville,YFE
EU,IT,IT-45,Forlì (FC),FRL
SA,AR,AR-P,Formosa,FMA
NA,US,US-AR,Forrest City,FCY
OC,AU,AU-WA,Forrest River Mission,FVR
NA,US,US-VA,Fort A. P. Hill,APH
NA,CA,CA-ON,Fort Albany,YFA
NA,US,US-VA,Fort Belvoir,DAA
NA,US,US-GA,Fort Benning(Columbus),LSF
NA,US,US-TX,Fort Bliss/El Paso,BIF
NA,US,US-NC,Fort Bragg,FBG
NA,US,US-CA,Fort Bragg,FOB
NA,US,US-WY,Fort Bridger,FBR
NA,US,US-KY,Fort Campbell/Hopkinsville,HOP
NA,US,US-CO,Fort Carson,FCS
NA,CA,CA-AB,Fort Chipewyan,YPY
NA,US,US-CO,Fort Collins/Loveland,FNL
NA,US,US-IA,Fort Dodge,FOD
NA,US,US-VA,Fort Eustis,FAF
NA,CA,CA-ON,Fort Frances,YAG
NA,US,US-GA,Fort Gillem,FOP
NA,CA,CA-NT,Fort Good Hope,YGH
NA,US,US-TX,Fort Hood(Killeen),HLR
NA,US,US-TX,Fort Hood/Killeen,GRK
NA,CA,CA-ON,Fort Hope,YFH
NA,US,US-AZ,Fort Huachuca Sierra Vista,FHU
NA,US,US-CA,Fort Hunter Ligget Jolon,HGT
NA,US,US-CA,Fort Irwin/Barstow,BYS
NA,US,US-KY,Fort Knox,FTK
NA,US,US-FL,Fort Lauderdale,FLL
NA,US,US-FL,Fort Lauderdale,FXE
NA,US,US-KS,Fort Leavenworth,FLV
NA,US,US-VA,Fort Lee,FLE
NA,US,US-MO,Fort Leonard Wood,TBN
NA,US,US-WA,Fort Lewis/Tacoma,GRF
NA,CA,CA-NT,Fort Liard,YJF
NA,CA,CA-AB,Fort Mackay,HZP
NA,US,US-IA,Fort Madison,FMS
NA,CA,CA-AB,Fort McMurray,NML
NA,CA,CA-AB,Fort McMurray,YMM
NA,CA,CA-NT,Fort Mcpherson,ZFM
NA,US,US-MD,Fort Meade(Odenton),FME
NA,US,US-FL,Fort Myers,FMY
NA,US,US-FL,Fort Myers,RSW
NA,CA,CA-BC,Fort Nelson,YYE
NA,US,US-FL,Fort Pierce,FPR
NA,US,US-LA,Fort Polk,POE
NA,CA,CA-NT,Fort Reliance,YFL
NA,CA,CA-NT,Fort Resolution,YFR
NA,US,US-AK,Fort Richardson(Anchorage),FRN
NA,US,US-KS,Fort Riley(Junction City),FRI
NA,US,US-AL,Fort Rucker Ozark,HEY
NA,US,US-AL,Fort Rucker Ozark,LOR
NA,US,US-AL,Fort Rucker/Ozark,OZR
AS,PK,PK-BA,Fort Sandeman,PZH
NA,US,US-KS,Fort Scott,FSK
NA,CA,CA-ON,Fort Severn,YER
NA,US,US-IL,Fort Sheridan,FSN
NA,US,US-OK,Fort Sill,FSI
NA,CA,CA-NT,Fort Simpson,YFS
NA,US,US-AR,Fort Smith,FSM
NA,CA,CA-NT,Fort Smith,YSM
NA,CA,CA-BC,Fort St.John,YXJ
NA,US,US-GA,Fort Stewart(Hinesville),LIY
NA,US,US-TX,Fort Stockton,FST
NA,US,US-NM,Fort Sumner,FSU
NA,US,US-IN,Fort Wayne,FWA
NA,US,US-IN,Fort Wayne,SMD
NA,US,US-TX,Fort Worth,AFW
NA,US,US-TX,Fort Worth,FTW
NA,US,US-TX,Fort Worth,FWH
NA,US,US-TX,Fort Worth,GSW
NA,US,US-AK,Fort Yukon,FYU
NA,MQ,MQ-U-A,Fort-de-France,FDF
SA,PE,PE-MDD,Fortaleza,ALD
SA,BR,BR-CE,Fortaleza,FOR
AS,CN,CN-44,Foshan,FUO
OC,AU,AU-WA,Fossil Downs Station,FSL
AF,GA,GA-4,Fougamou,FOU
EU,GB,GB-SCT,Foula,FOA
AF,CM,CM-OU,Foumban,FOM
OC,NZ,NZ-WTC,Fox,FGL
AF,LR,LR-LO,Foya,FOY
SA,BR,BR-PR,Foz Do Iguaçu,IGU
SA,BR,BR-SP,Franca,FRC
AF,GA,GA-2,Franceville,MVB
SA,BR,BR-PR,Francisco Beltrão,FBE
AF,BW,BW-NE,Francistown,FRW
NA,US,US-KY,Frankfort,FFT
EU,DE,DE-HE,Frankfurt am Main,FRA
EU,DE,DE-RP,Frankfurt am Main,HHN
EU,DE,DE-HE,Frankfurt am Main,QEF
NA,US,US-PA,Franklin,FKL
NA,US,US-VA,Franklin,FKN
SA,UY,UY-RN,Fray Bentos,FZB
NA,US,US-MD,Frederick,FDK
NA,US,US-OK,Frederick,FDR
NA,CA,CA-NB,Fredericton,YFC
NA,US,US-IL,Freeport,FEP
NA,BS,BS-FP,Freeport,FPO
AF,SL,SL-N,Freetown,FNA
AF,SL,SL-W,Freetown,HGS
AF,SC,SC-15,Frégate Island,FRK
EU,FR,FR-U,Fréjus,FRJ
NA,US,US-NE,Fremont,FET
NA,US,US-IN,French Lick,FRH
NA,US,US-ME,Frenchville,WFK
NA,US,US-CA,Fresno,FAT
NA,US,US-CA,Fresno,FCH
AF,GN,GN-B,Fria,FIG
NA,US,US-WA,Friday Harbor,FBS
NA,US,US-WA,Friday Harbor,FRD
OC,PG,PG-ESW,Frieda River,FAQ
EU,DE,DE-BW,Friedrichshafen,FDH
EU,DE,DE-HE,Fritzlar,FRZ
NA,US,US-VA,Front Royal,FRR
SA,CL,CL-LL,Frutillar,FRT
NA,US,US-ME,Fryeburg,FRY
NA,CA,CA-ON,Frying Pan Island,YSI
SA,PY,PY-16,Fuerte Olimpo,OLK
EU,ES,ES-CN,Fuerteventura Island,FUE
AS,JP,JP-40,Fukuoka,FUK
OC,PG,PG-EBR,Fulleborn,FUB
NA,US,US-CA,Fullerton,FUL
OC,PG,PG-WPD,Fuma,FUM
OC,TV,TV-FUN,Funafuti,FUN
EU,PT,PT-30,Funchal,FNC
SA,CO,CO-MAG,Fundación,FDA
NA,US,US-AK,Funter Bay,FNR
EU,DE,DE-BY,Fürstenfeldbruck,FEL
AS,JP,JP-13,Fussa,OKO
SA,CL,CL-LL,Futaleufu,FFU
OC,VU,VU-TAE,Futuna Island,FTA
OC,WF,WF-U-A,Futuna Island,FUT
AS,MV,MV-29,Fuvahmulah Island,FVM
AS,CN,CN-U-A,Fuyang,FUG
AS,CN,CN-23,Fuyuan,FYJ
AS,CN,CN-65,Fuyun,FYN
AS,CN,CN-35,Fuzhou,FOC
AS,AZ,AZ-QAB,Gabala,GBB
NA,US,US-NV,Gabbs,GAB
AF,TN,TN-81,Gabès,GAE
AF,BW,BW-SE,Gaborone,GBE
NA,CA,CA-BC,Gabriola Island,SYF
AS,IR,IR-18,Gachsaran,GCH
NA,US,US-AL,Gadsden,GAD
AF,TN,TN-71,Gafsa,GAF
AS,ID,ID-PB,Gag Island,GAV
NA,US,US-OK,Gage,GAG
AF,CI,CI-02,Gagnoa,GGN
NA,US,US-TX,Gainesville,GLE
NA,US,US-FL,Gainesville,GNV
NA,US,US-GA,Gainesville,GVL
NA,US,US-MD,Gaithersburg,GAI
NA,US,US-AK,Galbraith Lake,GBH
AF,SO,SO-MU,Galcaio,GLK
AS,ID,ID-MU,Galela-Celebes Island,GLX
NA,US,US-AK,Galena,GAL
NA,US,US-IL,Galesburg,GBG
NA,US,US-OH,Galion,GQQ
AS,LK,LK-3,Galle,KCT
EU,SE,SE-BD,Gällivare,GEV
NA,US,US-NM,Gallup,GUP
NA,US,US-TX,Galveston,GLS
EU,IE,IE-G,Galway,GWY
AF,GA,GA-8,Gamba,GAX
AF,ET,ET-GA,Gambela,GMB
NA,US,US-AK,Gambell,GAM
AF,CG,CG-14,Gamboma,GMM
NA,CA,CA-NT,Gamètì,YRA
AS,MV,MV-01,Gan,GAN
AF,CD,CD-KE,Gandajika,GDJ
NA,CA,CA-NL,Gander,YQX
AS,MM,MM-03,Gangaw,GAW
AS,KR,KR-42,Gangneung,KAG
AS,AZ,AZ-GA,Ganja,KVD
AS,CN,CN-36,Ganzhou,KOW
AF,BF,BF-PON,Gaoua,XGA
NA,PA,PA-5,Garachiné,GHE
OC,PG,PG-MPL,Garaina,GAR
SA,BR,BR-PE,Garanhuns,QGP
AF,SO,SO-GE,Garbaharey,GBM
NA,US,US-KS,Garden City,GCK
AS,AF,AF-PIA,Gardez,GRG
NA,US,US-MA,Gardner,GDM
AF,SO,SO-BR,Gardo,GSR
AF,KE,KE-500,Garissa,GAS
AF,CM,CM-NO,Garoua,GOU
OC,PG,PG-WBK,Garove Island,WIU
AF,SO,SO-NU,Garowe,GGR
OC,PG,PG-MBA,Garuahi,GRH
NA,US,US-IN,Gary,GYY
AS,PH,PH-MAD,Gasan,MRQ
OC,AU,AU-WA,Gascoyne Junction,GSC
OC,PG,PG-WBK,Gasmata Island,GMI
NA,CA,CA-QC,Gaspé,YGP
OC,PG,PG-WPD,Gasuke,GBC
NA,CA,CA-QC,Gatineau,YND
OC,SB,SB-WE,Gatokae,GTA
